id,title,link,image,tag,preview,author,timestamp
1,Căn hộ nhỏ không nhất thiết phải có bàn ăn,https://zingnews.vn/can-ho-nho-khong-nhat-thiet-phai-co-ban-an-post1406669.html,https://znews-photo.zingcdn.me/w360/Uploaded/jqkpvowk/2023_02_25/pexels_daniel_frese_744484_1.jpg,,"Bàn ăn có thể dùng như bàn làm việc khi cần thiết. Tuy nhiên, với căn hộ nhỏ, bạn có thể thay thế món nội thất này bằng bàn trà hoặc bàn đảo phòng bếp để tiết kiệm diện tích.",,
2,Sát hại người tình rồi tự tử,https://zingnews.vn/sat-hai-nguoi-tinh-roi-tu-tu-post1407159.html,https://znews-photo.zingcdn.me/w360/Uploaded/rohunuk/2022_11_02/c1_15851160309121568403889.jpg,PHÁP LUẬT,"Sau khi đâm tử vong người tình, Trí dùng dao đâm vào bụng để tự tử nhưng không chết.",Việt Tường,27/2/2023 14:21 (GMT+7)
3,Xét xử tổng giám đốc Phú An Thịnh Land lừa bán dự án 'ma',https://zingnews.vn/xet-xu-tong-giam-doc-phu-an-thinh-land-lua-ban-du-an-ma-post1407095.html,https://znews-photo.zingcdn.me/w360/Uploaded/bzivolby/2023_02_27/z4140915354560_f9b9b9edd090d504975610a176114c7a.jpg,PHÁP LUẬT,"Tổng giám đốc Phú An Thịnh Land Ngô Minh Khâm và đồng phạm bị đưa ra xét xử về hành vi lừa bán dự án ""ma"" cho hàng chục bị hại, chiếm đoạt hơn 74 tỷ đồng.",Dương Quỳnh Trang,27/2/2023 10:47 (GMT+7)
4,Hàng trăm biệt thự bỏ hoang tại khu đô thị hơn 7.000 tỷ,https://zingnews.vn/hang-tram-biet-thu-bo-hoang-tai-khu-do-thi-hon-7000-ty-post1405882.html,https://znews-photo.zingcdn.me/w360/Uploaded/ayhunaa/2023_02_22/KDTduongnoi3_zing.jpg,XÃ HỘI,"Hàng trăm biệt thự trong dự án khu đô thị Dương Nội (quận Hà Đông, Hà Nội) đang trong tình trạng hoang vắng dù nằm tại vị trí đắc địa ở phía tây thủ đô.",Thụy Trang,27/2/2023 10:03 (GMT+7)
5,Trưởng công an phường tử vong trong tư thế treo cổ tại nhà xe cơ quan,https://zingnews.vn/truong-cong-an-phuong-tu-vong-trong-tu-the-treo-co-tai-nha-xe-co-quan-post1407052.html,https://znews-photo.zingcdn.me/w360/Uploaded/lce_mdlwc/2023_02_27/img_1665308384020_1665308422688.jpg,XÃ HỘI,"Người dân phường Điện An (thị xã Điện Bàn, Quảng Nam) phát hiện trưởng công an phường này tử vong tại nhà xe cơ quan. Lực lượng chức năng đang khám nghiệm để làm rõ nguyên nhân.",Thanh Đức,27/2/2023 08:24 (GMT+7)
6,Park Seo Joon cùng loạt ‘bảo chứng phòng vé’ tái xuất màn bạc 2023,https://zingnews.vn/park-seo-joon-cung-loat-bao-chung-phong-ve-tai-xuat-man-bac-2023-post1406694.html,https://znews-photo.zingcdn.me/w360/Uploaded/ofh_btgazsox/2023_02_25/f850x638_463364_540853_5050.jpg,GIẢI TRÍ,"2023 đánh dấu sự trở lại màn ảnh rộng của Park Seo Joon với loạt dự án bom tấn. Ngoài ra, nhiều cái tên ""bảo chứng phòng vé"" xứ Hàn cũng xác nhận tái xuất.   ",Linh Phương,27/2/2023 07:16 (GMT+7)
7,'Halo effect' khiến chúng ta tin một người ưa nhìn cũng sẽ thông minh,https://zingnews.vn/halo-effect-khien-chung-ta-tin-mot-nguoi-ua-nhin-cung-se-thong-minh-post1406974.html,https://znews-photo.zingcdn.me/w360/Uploaded/neg_esfjaex/2023_02_26/Thumb_2.jpg,,"Halo effect cũng có tác động nhất định trong môi trường giáo dục, nơi làm việc và được tận dụng để làm tiếp thị.",Thái An,27/2/2023 07:00 (GMT+7)
8,Dấu hiệu bạn đã nhiễm cúm A H5N1,https://zingnews.vn/dau-hieu-ban-da-nhiem-cum-a-h5n1-post1406908.html,https://znews-photo.zingcdn.me/w360/Uploaded/gtnvzv/2023_02_26/316570916fb3987076cece316cd744ee.jpg,SỨC KHỎE,Tôi được biết TP.HCM sẽ giám sát chặt người nhập cảnh đi ở vùng có dịch cúm A H5N1. Xin hỏi khi nhiễm bệnh này sẽ có những triệu chứng nào? Phòng bệnh ra sao?,Độc giả Thái Hòa,27/2/2023 07:00 (GMT+7)
9,Dọn dẹp thư mục lộn xộn nhất trên máy tính,https://zingnews.vn/don-dep-thu-muc-lon-xon-nhat-tren-may-tinh-post1406841.html,https://znews-photo.zingcdn.me/w360/Uploaded/pqmcbzwv/2023_02_26/Downloads_folder_1.jpeg,CÔNG NGHỆ,"Thư mục Downloads trên máy tính là nơi chứa hàng trăm, thậm chí hàng nghìn file thuộc nhiều định dạng, thể loại và mức dung lượng khác nhau. Đã đến lúc bạn cần dọn dẹp nó.",Nguyễn Hiếu,27/2/2023 06:38 (GMT+7)
10,Miền Bắc nắng hanh cả tuần,https://zingnews.vn/mien-bac-nang-hanh-ca-tuan-post1406907.html,https://znews-photo.zingcdn.me/w360/Uploaded/lce_qjlcv/2021_10_17/lanh_PT_thumb.jpg,XÃ HỘI,"Thời tiết miền Bắc duy trì nắng ráo và hanh khô trong một tuần tới. Nhiệt độ ban ngày tăng cao lên mức 23-25 độ C và giảm sâu xuống mức 15 độ C về đêm, sáng sớm.",Mỹ Hà,27/2/2023 06:00 (GMT+7)
11,"Trung Quốc muốn đảo ngược suy giảm dân số, hãy nhìn vào Thụy Điển",https://zingnews.vn/trung-quoc-muon-dao-nguoc-suy-giam-dan-so-hay-nhin-vao-thuy-dien-post1406918.html,https://znews-photo.zingcdn.me/w360/Uploaded/ovhunah/2023_02_26/2f77e4c4aeac4997976b1424703be190.jpg,THẾ GIỚI,"Giới chuyên gia nhận định các chính sách của chính phủ có thể ngăn tỷ lệ sinh lao dốc, song không thể đảo ngược thực trạng các ca sinh giảm dần ở những nước phát triển.",Trần Hoàng,
